to absorb liquid into a living cell through its cell membranes for examfle by osmosis.,Absorb,
the amount of acid in a Substance often measured in pH.,Acidity,
relating to agriculture.,Agricultural,
the work buisness or study of farming.,Agriculture,
simple plants that have no roots stems or leaves and that usually grow in the water.,Algae,
rapid growth of algae (simple plants that grow in the water),Algal blooming,
a base that dissolves in water and has a pH of more than 7.,Alkali,
a salt (chemical compound) formed by the reaction of ammonia bith a base.,Ammonium salt,
living in or near water.,Aquatic,
the practice of leaving land uncultivated (with nothing planted on it) for a time allowing air to get into the soil aand nutrients that have been used up by plant growth to be replenished.,Bare fallowing,
the solid rock under the ground that supports the soil above it.,Bedrock,
a hole in the top of the head of a see mammal such as whale or dolphin through which it breathes.,Blowhole,
a salt (chemical compound) formed by the reaction of carbon with a base.,Carbonate,
movement of carbon between living organisms and their environment.,Carbon cycle,
a very weak acid formed when carbon dioxide dissolves in water.,Carbon acid,
an animal that eats other animals.,Carnivore,
to throw a fishing net into the water.,Cast,
a type of soft white rock that consists of almost pure calcium carbonate.,Chalk,
the process by which rocks and minerals are broken into very small pieces by the action of chemicals for example by oxidation reactions (with oxygen in the air) or by being dissolved in water or carbonic acid.,Chemical weathering,
a type of heavy wet soil that becomes hard when it is baked in a kiln (=oven) used for making cups plates and other objects.,Clay,
the land along a coast or the shape that it makes.,Coastline,
shaped like a cone with a point at one end and a circular surface or space at the other.,Cone-shaped,
a living thing that feeds on other living things in the food chain.,Consumer,
a method of ploughing in which the land is ploughed along horizontal lines of the same height for example on the side of a hill or mountain.,Contour ploughing,
a small tropical sea animal that lives in large groups that look like plants or a hard substance that grows in the sea – made from the skeletons of corals.,Coral,
the practice of regularly changing the type of crop that is grown on a particular area of land in order to keep the soil healthy.,Crop rotation,
the amount of crop that is produced.,Crop yield,
to rotate to move in a cycle through something.,Cycle,
to be gradually broken down by bacteria or fungi.,Decay,
an organism especially a bacterium or fungus that causes organnic matter to decay.,Decomposer,
the process of decaying or decomposing (=breaking down through a slow natural process into basic elements).,Decomposition,
bacteria in soil tha break down nitrates in the soil and produce some of the nitrogen that exists in the air.,Denitrifying bacteria,
to reduce the amount of something by using it or to be reduced in this way.,Deplete,
the process of becoming depleted or of depleting something.,Depletion,
the process of taking water or waste liquid away from something such as land or of allowing it to flow away.,Drainage,
a storm during which a strong wind blows a lot of dry soil around.,Dust storm,
a type of worm that lives in soil.,Earthworm,
an instrument for measuring the depth of the seabed or for detecting objects in water by using sound echoes.,Echo sounder,
all the plants animals and other organisms in a particular area considered in relation to the environment that they live in and the way they all depend on each other.,ecosystem,
liquid waste that a place such as factory or farm allows to flow into a river or the sea.,Effluent,
excess of nutrients in a lake or other area of water usually caused by pollution from artificial fertilizers leading to the dense growth of plants in the water.,Eutrophication,
the ability of the soil to produce a loto f good crops or other plants.,Fertility,
the natural process in which one organism is eaten by another which is then eaten by another etc.,Food chain,
the process by which things that were living become preserved in rock or in the form of rock.,Fossilization,
a type of erosion (wearing away of soil) in which flowing water cuts deep channels though the earth.,Gully erosion,
the process of collecting a crop from the fields.,Harvesting,
an animal that eats only plants.,Herbivore,
the time when the sea reaches the highest level.,High tide,
the action of working the soil a hoe in order to break up the surface of the soil or remove weeds.,Hoeing,
a layer of soil or minerals in the ground that is different from the layer above or below it.,Horizon,
